Date,Product,Category,Price,Quantity,Total_Sales
2024-04-12,Phone,Electronics,350.98,3,1052.94
2024-12-14,Phone,Accessories,349.67,2,699.34
2024-09-27,Phone,Electronics,316.08,4,1264.32
2024-04-16,Laptop,Accessories,173.62,4,694.48
2024-03-12,Phone,Electronics,302.56,4,1210.24
2024-07-07,Laptop,Electronics,222.32,1,222.32
2024-01-21,Phone,Accessories,487.27,4,1949.08
2024-04-12,Headphones,Accessories,432.01,1,432.01
2024-05-01,Headphones,Electronics,374.78,2,749.56
2024-08-02,Tablet,Accessories,156.19,1,156.19
2024-11-26,Headphones,Accessories,165.23,2,330.46
2024-03-28,Tablet,Accessories,68.2,4,272.8
2024-04-09,Headphones,Electronics,369.8,4,1479.2
2024-12-25,Laptop,Electronics,99.9,2,199.8
2024-05-31,Headphones,Electronics,247.7,3,743.0999999999999
2024-05-10,Tablet,Electronics,140.77,2,281.54
2024-05-29,Tablet,Electronics,453.09,3,1359.27
2024-11-04,Phone,Electronics,263.92,1,263.92
2024-09-14,Laptop,Electronics,303.47,1,303.47
2024-12-09,Headphones,Electronics,362.98,1,362.98
2024-10-20,Phone,Electronics,112.7,4,450.8
2024-07-10,Headphones,Accessories,321.99,1,321.99
2024-10-03,Headphones,Electronics,292.93,3,878.79
2024-06-09,Phone,Accessories,141.38,1,141.38
2024-11-09,Phone,Accessories,474.28,2,948.56
2024-01-22,Phone,Accessories,319.49,2,638.98
2024-09-09,Phone,Electronics,362.65,4,1450.6
2024-08-23,Phone,Electronics,446.21,2,892.42
2024-12-10,Headphones,Electronics,330.96,3,992.8799999999999
2024-02-18,Phone,Electronics,183.04,1,183.04
2024-02-28,Laptop,Accessories,97.47,4,389.88
2024-06-18,Tablet,Electronics,255.44,1,255.44
2024-07-06,Phone,Electronics,148.3,1,148.3
2024-09-27,Phone,Electronics,237.43,3,712.29
2024-07-08,Headphones,Electronics,447.48,2,894.96
2024-06-23,Phone,Electronics,195.96,2,391.92
2024-02-20,Phone,Accessories,104.94,1,104.94
2024-12-29,Phone,Electronics,210.33,4,841.32
2024-02-24,Headphones,Accessories,458.07,2,916.14
2024-08-31,Phone,Electronics,172.46,4,689.84
2024-11-15,Tablet,Accessories,341.46,2,682.92
2024-05-10,Headphones,Electronics,50.23,4,200.92
2024-11-02,Tablet,Electronics,208.66,3,625.98
2024-05-14,Headphones,Accessories,187.15,4,748.6
2024-01-21,Phone,Accessories,124.1,3,372.29999999999995
2024-11-24,Tablet,Accessories,290.34,3,871.02
2024-06-15,Headphones,Electronics,268.17,4,1072.68
2024-09-30,Laptop,Accessories,361.6,3,1084.8000000000002
2024-03-29,Phone,Electronics,171.24,1,171.24
2024-11-11,Headphones,Electronics,159.86,3,479.58000000000004
